source_kind,external_id,title,path,mime_type,url,created_time,modified_time,priority,status,legal_status,notes
boe_consolidado,BOE-A-1978-31229,Constitucion Espanola 1978,data/sources/leyes_originales/BOE_consolidadas/BOE-A-1978-31229_Constitucion_Espanola_1978.pdf,application/pdf,https://www.boe.es/buscar/pdf/1978/BOE-A-1978-31229-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2015-10565,Ley 39/2015 Procedimiento Administrativo Comun,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2015-10565_Ley_39-2015_Procedimiento_Administrativo_Comun.pdf,application/pdf,https://www.boe.es/buscar/pdf/2015/BOE-A-2015-10565-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2015-10566,Ley 40/2015 Regimen Juridico Sector Publico,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2015-10566_Ley_40-2015_Regimen_Juridico_Sector_Publico.pdf,application/pdf,https://www.boe.es/buscar/pdf/2015/BOE-A-2015-10566-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2015-11719,Real Decreto Legislativo 5/2015 TREBEP,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2015-11719_Real_Decreto_Legislativo_5-2015_TREBEP.pdf,application/pdf,https://www.boe.es/buscar/pdf/2015/BOE-A-2015-11719-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-1985-5392,Ley 7/1985 Bases Regimen Local,data/sources/leyes_originales/BOE_consolidadas/BOE-A-1985-5392_Ley_7-1985_Bases_Regimen_Local.pdf,application/pdf,https://www.boe.es/buscar/pdf/1985/BOE-A-1985-5392-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2007-6115,Ley Organica 3/2007 Igualdad efectiva,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2007-6115_Ley_Organica_3-2007_Igualdad_efectiva.pdf,application/pdf,https://www.boe.es/buscar/pdf/2007/BOE-A-2007-6115-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2004-21760,Ley Organica 1/2004 Violencia de genero,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2004-21760_Ley_Organica_1-2004_Violencia_de_genero.pdf,application/pdf,https://www.boe.es/buscar/pdf/2004/BOE-A-2004-21760-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2015-11430,Real Decreto Legislativo 2/2015 Estatuto Trabajadores,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2015-11430_Real_Decreto_Legislativo_2-2015_Estatuto_Trabajadores.pdf,application/pdf,https://www.boe.es/buscar/pdf/2015/BOE-A-2015-11430-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2012-5730,Ley Organica 2/2012 Estabilidad Presupuestaria,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2012-5730_Ley_Organica_2-2012_Estabilidad_Presupuestaria.pdf,application/pdf,https://www.boe.es/buscar/pdf/2012/BOE-A-2012-5730-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2003-20977,Ley 38/2003 General de Subvenciones,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2003-20977_Ley_38-2003_General_de_Subvenciones.pdf,application/pdf,https://www.boe.es/buscar/pdf/2003/BOE-A-2003-20977-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2021-5032,Real Decreto 203/2021 Sector Publico Electronico,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2021-5032_Real_Decreto_203-2021_Sector_Publico_Electronico.pdf,application/pdf,https://www.boe.es/buscar/pdf/2021/BOE-A-2021-5032-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
boe_consolidado,BOE-A-2017-12902,Ley 9/2017 Contratos Sector Publico,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2017-12902_Ley_9-2017_Contratos_Sector_Publico.pdf,application/pdf,https://www.boe.es/buscar/pdf/2017/BOE-A-2017-12902-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE descargado; la propia pagina BOE advierte que la legislacion consolidada tiene caracter informativo.
