source_kind,external_id,title,path,mime_type,url,created_time,modified_time,priority,status,legal_status,notes
boe_consolidado,BOE-A-2015-1952,Ley 1/2015 Generalitat Hacienda Publica Sector Publico Instrumental y Subvenciones,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2015-1952_Ley_1-2015_Hacienda_Publica_Generalitat.pdf,application/pdf,https://www.boe.es/buscar/pdf/2015/BOE-A-2015-1952-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_consolidado,BOE-A-2021-8880,Ley 4/2021 Funcion Publica Valenciana,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2021-8880_Ley_4-2021_Funcion_Publica_Valenciana.pdf,application/pdf,https://www.boe.es/buscar/pdf/2021/BOE-A-2021-8880-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_consolidado,BOE-A-2023-5366,Ley 4/2023 Igualdad real personas trans y garantia derechos LGTBI,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2023-5366_Ley_4-2023_Trans_LGTBI.pdf,application/pdf,https://www.boe.es/buscar/pdf/2023/BOE-A-2023-5366-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_consolidado,BOE-A-1984-3460,Ley 5/1983 Gobierno Valenciano Consell,data/sources/leyes_originales/BOE_consolidadas/BOE-A-1984-3460_Ley_5-1983_Consell.pdf,application/pdf,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; la norma aparece como Ley 5/1983 de Gobierno Valenciano.
boe_consolidado,BOE-A-2025-1,Ley 6/2024 Generalitat Simplificacion Administrativa,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2025-1_Ley_6-2024_Simplificacion_Administrativa.pdf,application/pdf,https://www.boe.es/buscar/pdf/2025/BOE-A-2025-1-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_consolidado,BOE-A-2010-11729,Ley 8/2010 Regimen Local Comunitat Valenciana,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2010-11729_Ley_8-2010_Regimen_Local_CV.pdf,application/pdf,https://www.boe.es/buscar/pdf/2010/BOE-A-2010-11729-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_consolidado,BOE-A-2003-9334,Ley 9/2003 Igualdad mujeres y hombres Generalitat,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2003-9334_Ley_9-2003_Igualdad_Mujeres_Hombres.pdf,application/pdf,https://www.boe.es/buscar/pdf/2003/BOE-A-2003-9334-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_consolidado,BOE-A-2003-10298,Ley 14/2003 Patrimonio Generalitat Valenciana,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2003-10298_Ley_14-2003_Patrimonio_Generalitat.pdf,application/pdf,https://www.boe.es/buscar/pdf/2003/BOE-A-2003-10298-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_consolidado,BOE-A-2018-1870,Ley 20/2017 Tasas Generalitat,data/sources/leyes_originales/BOE_consolidadas/BOE-A-2018-1870_Ley_20-2017_Tasas_Generalitat.pdf,application/pdf,https://www.boe.es/buscar/pdf/2018/BOE-A-2018-1870-consolidado.pdf,,,alta,descargado,pendiente_de_validacion,Texto consolidado BOE; caracter informativo.
boe_pdf,BOE-A-2025-11960,Ley 6/2025 Presupuestos Generalitat 2025,data/sources/leyes_originales/BOE/BOE-A-2025-11960_Ley_6-2025_Presupuestos_Generalitat_2025.pdf,application/pdf,https://www.boe.es/boe/dias/2025/06/14/pdfs/BOE-A-2025-11960.pdf,,,alta,descargado,pendiente_de_validacion,Ley de presupuestos 2025; en 2026 se encuentra prorrogada salvo aprobacion posterior.
